,Cluster Average,Number of node sample,Feature
0,6.413651788277584,18000,1
1,6.476075798757808,16922,6
2,5.433745382576263,1078,0
3,6.422731396144194,15862,18
4,7.274329491453013,1060,12
5,6.37333810579174,14373,12
6,6.899514312353482,1489,3
7,6.3156609122290766,12641,17
8,6.794295036407036,1732,107
9,6.279557329141581,11755,116
10,6.7946649970979,886,114
11,6.254846001152473,11289,32
12,6.8781972039672405,466,-2
13,6.236558640542249,10949,38
14,6.84375279915678,340,-2
15,6.226126568041385,10828,76
16,7.170099806158121,121,-2
17,6.198620868085192,10089,69
18,6.601640785711101,739,68
19,6.171369146225675,9429,58
20,6.5879488762871725,660,-2
21,6.1560410280012015,9177,22
22,6.729568118233335,252,30
23,6.138629644461552,8807,10
24,6.570479014038386,370,-2
25,6.114542685489488,8022,41
26,6.384776886339097,785,15
27,6.109396537969499,7980,3
28,7.0923107142857145,42,-2
29,6.100644953236331,7861,113
30,6.687515929462428,119,-2
31,5.321923917964093,793,12
32,5.7448837034094105,285,12
33,6.771671333959131,1689,32
34,7.682933023255812,43,-2
35,6.096683538992696,7832,153
36,7.170499999999999,29,-2
37,6.0926152838973655,7794,7
38,6.9311040709094724,38,-2
39,6.081849821959642,7541,64
40,6.413494131614114,253,-2
41,6.556576362891012,699,145
42,7.389141574492099,40,15
43,6.732575416043404,1537,22
44,7.167003082883359,152,-2
45,6.070043102839027,7249,123
46,6.374955667525763,292,-2
47,6.065872599598462,7212,2
48,6.882953085841717,37,-2
49,6.056665526152153,7037,114
50,6.436102175837063,175,-2
51,6.05446578688107,7026,8
52,7.461698991477272,11,-2
53,6.026456811142897,5608,45
54,6.165237532959821,1418,-2
55,6.013642807747584,5398,43
56,6.355837717466176,210,11
57,6.685629314508992,1327,38
58,7.029230067168057,210,-2
59,7.193187838153234,797,-2
60,7.520222638524989,263,68
61,6.767791487111465,859,4
62,7.6496407407407405,27,-2
63,6.871010270212134,1398,124
64,7.337411575140326,91,-2
65,6.849110593242285,1350,4
66,7.486938684989415,48,-2
67,6.540983926268108,168,-2
68,7.106736502163784,84,-2
69,6.820387960468806,1265,45
70,7.276570951576953,85,-2
71,6.673231374803084,1310,5
72,7.640999962434036,17,-2
73,6.010557865454035,5380,44
74,6.935697782152231,18,-2
75,6.007593353746533,5363,81
76,6.945774117647059,17,-2
77,6.4203871732442535,198,-2
78,5.290771697127937,12,-2
79,6.005044214232278,5350,68
80,7.0566623076923065,13,-2
81,6.002716764589387,5339,15
82,7.1347036363636365,11,-2
83,5.985167743553111,4789,115
84,6.15552087684885,550,-2
85,7.405587615027817,211,-2
86,7.985376291561607,52,-2
87,6.346170476887712,724,49
88,6.842990664089869,61,-2
89,6.32485843964223,708,25
90,7.289228125,16,-2
91,6.19898532017206,428,26
92,6.517264493689507,280,-2
93,7.4831887943508715,39,-2
94,3.7213,1,-2
95,5.981001122651288,4759,47
96,6.646132705947549,30,-2
97,6.646035644801445,1218,69
98,7.033279191564015,92,8
99,6.606880538985365,1074,2
100,6.938067475679694,144,-2
101,6.712013017372739,53,-2
102,7.469871684695755,39,-2
103,6.493681436668931,574,-2
104,6.8453898641028195,125,-2
105,5.976474632083332,4722,19
106,6.558679189189189,37,-2
107,5.97096828323053,4668,13
108,6.452467899580137,54,-2
109,5.959289516092885,4440,61
110,6.198396906437486,228,-2
111,6.143693480707087,387,-2
112,6.720886341463414,41,-2
113,6.735568810772449,801,-2
114,7.212797758620692,58,-2
115,6.569071548708187,946,-2
116,6.8863126077526315,128,-2
117,5.674562590797166,253,-2
118,6.30086,32,-2
119,6.840025127362879,1210,-2
120,6.388370288799155,55,-2
121,5.952820055106544,4364,92
122,6.330772775886885,76,-2
123,5.947368642988752,4316,-2
124,6.44299286136492,48,-2
125,5.299851172477814,765,-2
126,5.924982857142857,28,-2
